species_name,scientific_name,habitat,depth_range,temperature_range,distribution,conservation_status,threats,characteristics
Atlantic Bluefin Tuna,Thunnus thynnus,Open ocean,0-1000m,3-30°C,North Atlantic Ocean,Endangered,Overfishing,Highly migratory and fast swimming
North Atlantic Right Whale,Eubalaena glacialis,Coastal and offshore waters,0-200m,2-25°C,North Atlantic Ocean,Critically Endangered,Ship strikes and entanglement,Distinctive callosities on head
Loggerhead Sea Turtle,Caretta caretta,Open ocean and coastal waters,0-300m,13-28°C,Atlantic and Pacific Oceans,Vulnerable,Plastic pollution and climate change,Large head with powerful jaws
American Lobster,Homarus americanus,Rocky and sandy bottoms,0-700m,0-25°C,North Atlantic coast,Stable,Ocean acidification,Large claws and long antennae
Atlantic Cod,Gadus morhua,Continental shelf waters,0-600m,-1-20°C,North Atlantic Ocean,Vulnerable,Overfishing and climate change,Three dorsal fins and barbel on chin
Humpback Whale,Megaptera novaeangliae,Open ocean and coastal waters,0-200m,0-28°C,Worldwide,Least Concern,Ship strikes and entanglement,Long pectoral fins and distinctive songs
Striped Bass,Morone saxatilis,Coastal and estuarine waters,0-200m,2-35°C,Atlantic coast of North America,Stable,Habitat loss and pollution,Distinctive horizontal stripes
Atlantic Salmon,Salmo salar,Rivers and ocean,0-210m,2-22°C,North Atlantic Ocean,Endangered,Habitat loss and aquaculture,Anadromous lifecycle
Scallop (Atlantic Sea),Placopecten magellanicus,Sandy and muddy bottoms,5-200m,0-25°C,Northwest Atlantic Ocean,Stable,Fishing pressure,Fan-shaped shell with radiating ribs
Horseshoe Crab,Limulus polyphemus,Shallow coastal waters,0-30m,5-30°C,Atlantic coast of North America,Vulnerable,Habitat loss and harvesting,Blue blood and compound eyes